4600	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
4700	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
4800	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
4900	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5000	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5100	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5200	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5300	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5400	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5500	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
